TeamName,RegularSeasonRank,Record,PointsFor,PointsAgainst,PlayoffRank,ManagerName,Moves,Trades,DraftPosition
Kush Gordon,1,10-3-0,"1,169.06","1,057.28",4,david,0,0,2
Nothing But Green,2,10-3-0,"1,248.10","1,057.08",3,Kevin,30,0,10
Oops I Gave you Crabtree,3,9-4-0,"1,271.82","1,071.38",1,Peter2,23,0,3
ManzAMakeHerDance,4,9-4-0,"1,179.50","1,123.16",5,Peter,21,0,7
Wolves of Winterfell,5,9-4-0,"1,257.34","1,104.60",2,Alessandro,10,0,8
Tittsburgh Feelers,6,6-7-0,"1,106.84","1,207.90",6,Daniel,13,0,12
Mr Potassium,7,6-7-0,"1,041.62",962.28,8,Raed,14,0,11
St Joan Slut Smashers,8,6-7-0,"1,040.94","1,152.94",7,michael,5,1,5
MJD_MVP,9,4-9-0,"1,110.84","1,276.40",11,johnny,3,0,1
IPittaThaFool,10,3-10-0,"1,073.70","1,245.24",12,alex,4,0,9
WhoDat Nation,11,3-10-0,"1,079.90","1,162.04",9,christian,5,0,4
Toronto Eagles,12,3-10-0,"1,070.78","1,230.14",10,Greg,2,1,6
