TeamName,RegularSeasonRank,Record,PointsFor,PointsAgainst,PlayoffRank,ManagerName,Moves,Trades,DraftPosition
The AddDrop Empire,1,11-2-0,"1,451.44","1,088.90",2,Ryan,42,2,3
Forte Inch Ditka,2,10-3-0,"1,314.98","1,150.60",1,alex,17,0,9
Gotta Catch Jamaal,3,8-5-0,"1,231.64","1,077.06",5,Peter2,17,0,4
Got You By The Rawls,4,8-5-0,"1,183.94","1,122.90",6,Peter,24,2,8
Dylan's Leaky Boat,5,7-6-0,"1,106.20","1,144.80",4,Greg,12,0,2
Drake's New Favorite Team,6,7-6-0,"1,219.52","1,218.00",3,Neil,18,0,12
Mr Potassium,7,6-7-0,"1,075.24","1,195.18",9,Raed,7,0,1
Waka Flacco Flame,8,5-8-0,"1,091.20","1,258.14",8,david,12,1,7
Chalupa Batman,9,5-8-0,"1,166.60","1,194.46",10,Kevin,42,1,11
I Feel Like Pablo,10,4-9-0,"1,061.68","1,169.26",7,Alessandro,24,0,6
Valyrian Steel-ers,11,4-9-0,"1,019.08","1,131.24",11,Daniel,11,0,10
Waterloo Weiner Wizards,12,3-10-0,"1,060.12","1,231.10",12,michael,1,0,5
