Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Peter,3,K. Murray QB - ARI Q ,37.10,G. Bernard RB - CIN ,15.60,B. Scott RB - PHI ,15.20,C. Beasley WR - BUF Q ,11.20,C. Ridley WR - ATL ,14.90,J. Smith TE - TEN ,0.90,J. Jackson RB - LAC ,5.50,D. Carlson K - LV ,8.00,Chargers DEF ,6.00,F. Gore RB - NYJ IR ,6.00,A. Thielen WR - MIN ,0.00,T. Bridgewater QB - CAR Q ,19.16,D. Parker WR - MIA ,0.00,J. Mixon RB - CIN IR ,0.00,M. Gesicki TE - MIA ,0.00,N. Chubb RB - CLE ,0.00,P. Campbell WR - IND IR ,0.00,114.40,michael,132.36
david,10,J. Burrow QB - CIN IR ,35.64,J. Jacobs RB - LV ,3.10,D. Singletary RB - BUF ,4.70,J. Landry WR - CLE ,5.96,O. Beckham WR - CLE IR ,0.00,D. Fells TE - HOU ,0.00,M. Davis RB - CAR Q ,3.60,M. Crosby K - GB ,5.00,Buccaneers DEF ,6.00,J. Garoppolo QB - SF IR ,7.48,J. Crowder WR - NYJ ,0.00,N. Agholor WR - LV ,16.70,M. Thomas WR - NO Q ,0.00,J. Akins TE - HOU ,0.00,J. Tucker K - BAL ,0.00,E. Sanders WR - NO ,0.00,Z. Ertz TE - PHI ,0.00,64.00,Ryan,92.08
Ryan,1,J. Allen QB - BUF ,16.38,D. Johnson RB - HOU ,12.40,A. Kamara RB - NO ,14.80,K. Golladay WR - DET Q ,11.40,D. Samuel WR - SF Q ,7.20,T. Kelce TE - KC ,3.10,D. Swift RB - DET ,10.80,Y. Koo K - ATL ,2.00,Bills DEF ,14.00,A. Green WR - CIN ,8.20,J. White RB - NE ,0.30,C. Edmonds RB - ARI ,14.50,D. Harris RB - NE IR ,7.00,L. Shenault WR - JAX ,4.40,J. Jefferson WR - MIN ,0.00,R. Penny RB - SEA Q ,0.00,J. Reagor WR - PHI Q ,0.00,92.08,david,64.00
alex,9,P. Mahomes QB - KC Q ,12.00,D. Freeman RB ,0.80,E. Elliott RB - DAL ,5.10,M. Evans WR - TB ,3.70,S. Diggs WR - BUF ,4.80,J. Cook TE - NO ,9.20,T. Patrick WR - DEN Q ,4.40,J. Slye K - CAR ,6.00,Chiefs DEF ,24.00,M. Ingram RB - BAL ,0.00,T. Hilton WR - IND ,0.00,D. Carr QB - LV ,19.26,C. Hyde RB - SEA ,13.60,T. Higbee TE - LA ,0.00,Ravens DEF ,0.00,S. Michel RB - NE ,0.00,-,-,70.00,Greg,126.28
Alessandro,8,R. Wilson QB - SEA ,29.92,A. Peterson RB - DET ,3.00,K. Drake RB - ARI ,4.10,D. Chark WR - JAX Q ,2.60,A. Brown WR - TEN Q ,21.30,H. Henry TE - LAC ,2.30,K. Cole WR - JAX ,1.20,B. McManus K - DEN ,4.00,Giants DEF ,5.00,C. Davis WR - TEN ,9.50,D. Cook RB - MIN ,0.00,R. Tonyan TE - GB ,3.20,A. Mattison RB - MIN ,0.00,C. Lamb WR - DAL ,0.10,H. Ruggs WR - LV Q ,4.50,-,-,-,-,73.42,Peter,150.72
Daniel,11,D. Watson QB - HOU ,24.16,T. Gurley RB - ATL ,20.20,J. Kelley RB - LAC ,5.30,J. Jones WR - ATL Q ,9.70,A. Cooper WR - DAL Q ,8.50,E. Engram TE - NYG ,4.90,D. Slayton WR - NYG ,2.30,W. Lutz K - NO ,9.00,Steelers DEF ,2.00,M. Stafford QB - DET ,18.40,J. Brown WR - BUF ,0.00,L. Fournette RB - TB ,9.70,M. Gallup WR - DAL ,0.00,R. Gage WR - ATL ,5.40,L. Perine RB - NYJ COV ,11.60,A. Ekeler RB - LAC Q ,0.00,-,-,86.06,Jeremy,88.80
Neil,5,C. Wentz QB - PHI ,27.76,D. Henry RB - TEN ,13.20,P. Lindsay RB - DEN IR ,7.90,J. Smith-Schuster WR - PIT ,8.50,M. Williams WR - LAC ,0.40,H. Hurst TE - ATL ,6.80,A. Robinson WR - CHI ,7.00,Z. Gonzalez K - ARI IR ,13.00,Bears DEF ,9.00,B. Roethlisberger QB - PIT ,12.62,A. Jones RB - GB Q ,0.00,C. Kirk WR - ARI ,15.70,J. Dobbins RB - BAL ,0.00,Z. Moss RB - BUF IR ,7.20,C. Akers RB - LA ,0.00,-,-,-,-,93.56,Kevin,91.22
michael,12,T. Brady QB - TB ,36.86,J. McKinnon RB - SF ,-0.10,M. Gordon RB - DEN ,10.00,D. Adams WR - GB ,31.60,T. Hill WR - KC ,11.50,D. Waller TE - LV ,11.00,K. Allen WR - LAC ,12.50,M. Prater K - DET ,15.00,Patriots DEF ,4.00,L. Bell RB - KC ,3.90,S. Watkins WR - KC ,0.00,J. Goff QB - LA ,16.90,A. Hooper TE - CLE ,0.00,J. Howard RB ,0.00,J. Williams RB - GB ,17.40,T. Cohen RB - CHI IR ,0.00,-,-,132.36,Peter,114.40
Kevin,2,M. Ryan QB - ATL ,17.52,J. Conner RB - PIT ,11.10,D. Montgomery RB - CHI ,6.90,W. Fuller WR - HOU ,9.50,D. Metcalf WR - SEA ,2.30,J. Graham TE - CHI ,3.10,C. Godwin WR - TB ,14.80,R. Gould K - SF ,9.00,Football Team DEF ,17.00,A. Brown WR - TB ,0.00,R. Mostert RB - SF IR ,0.00,M. Gaskin RB - MIA ,0.00,G. Minshew QB - JAX ,19.02,R. Blankenship K - IND ,0.00,Colts DEF ,0.00,C. McCaffrey RB - CAR Q ,0.00,D. Goedert TE - PHI Q ,0.00,91.22,Neil,93.56
Jeremy,6,R. Tannehill QB - TEN ,17.30,K. Hunt RB - CLE ,16.20,C. Carson RB - SEA ,4.10,T. McLaurin WR - WAS ,15.00,T. Higgins WR - CIN Q ,13.80,G. Kittle TE - SF ,5.50,C. Kupp WR - LA Q ,5.90,R. Bullock K - CIN ,10.00,Saints DEF ,1.00,D. Brees QB - NO ,23.68,L. Murray RB - NO Q ,5.60,N. Fant TE - DEN ,3.80,D. Johnson WR - PIT ,20.00,T. Pollard RB - DAL ,2.20,A. Gibson RB - WAS ,18.80,-,-,-,-,88.80,Daniel,86.06
Peter,4,A. Rodgers QB - GB ,27.32,D. Henderson RB - LA IR ,7.60,C. Edwards-Helaire RB - KC ,12.30,D. Hopkins WR - ARI ,14.30,T. Lockett WR - SEA ,40.00,T. Hockenson TE - DET ,11.90,D. Moore WR - CAR ,21.30,R. Succop K - TB ,9.00,Browns DEF ,7.00,R. Gronkowski TE - TB ,12.20,C. Newton QB - NE ,-0.18,B. Cooks WR - HOU ,6.00,T. Boyd WR - CIN ,16.74,J. Taylor RB - IND ,0.00,B. Aiyuk WR - SF Q ,11.50,A. Lazard WR - GB ,0.00,-,-,150.72,Alessandro,73.42
Greg,7,J. Herbert QB - LAC ,38.48,R. Jones RB - TB ,9.60,J. Robinson RB - JAX Q ,27.70,R. Anderson WR - CAR ,7.40,C. Claypool WR - PIT ,-0.20,D. Njoku TE - CLE ,8.00,T. Fulgham WR - PHI ,7.30,H. Butker K - KC ,13.00,Rams DEF ,15.00,R. Woods WR - LA ,2.50,J. McKissic RB - WAS ,5.10,L. Jackson QB - BAL Q ,0.00,M. Andrews TE - BAL ,0.00,M. Brown WR - BAL ,0.00,M. Sanders RB - PHI Q ,0.00,-,-,-,-,126.28,alex,70.00
