Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Peter,3,K. Murray QB - ARI Q ,35.14,N. Hines RB - IND ,5.40,N. Chubb RB - CLE ,12.60,A. Thielen WR - MIN ,7.10,C. Davis WR - TEN ,17.00,J. Smith TE - TEN ,5.20,C. Ridley WR - ATL ,22.30,D. Carlson K - LV ,9.00,Titans DEF ,6.00,C. Beasley WR - BUF Q ,11.20,G. Bernard RB - CIN ,21.70,D. Parker WR - MIA ,0.00,M. Gesicki TE - MIA ,0.00,L. Bowden RB - MIA ,4.60,Chargers DEF ,3.00,D. Brees QB - NO ,19.36,J. Mixon RB - CIN IR ,0.00,119.74,Kevin,94.12
david,12,T. Hill QB - NO Q ,6.30,M. Davis RB - CAR Q ,6.10,W. Gallman RB - NYG ,2.90,E. Sanders WR - NO ,7.60,J. Landry WR - CLE ,12.10,T. Higbee TE - LA ,12.70,J. Crowder WR - NYJ ,6.60,J. Tucker K - BAL ,8.00,Buccaneers DEF ,3.00,Z. Ertz TE - PHI ,6.90,D. Carr QB - LV ,2.12,N. Agholor WR - LV ,4.90,C. Samuel WR - CAR ,4.80,J. Jacobs RB - LV ,17.40,D. Singletary RB - BUF ,14.40,-,-,-,-,65.30,-,-
Ryan,1,J. Allen QB - BUF ,37.66,A. Kamara RB - NO ,15.40,D. Swift RB - DET ,18.20,B. Cooks WR - HOU ,5.90,J. Jefferson WR - MIN ,10.40,T. Kelce TE - KC ,14.80,C. Akers RB - LA ,6.20,Y. Koo K - ATL ,11.00,Rams DEF ,2.00,B. Perriman WR - NYJ ,2.10,D. Johnson RB - HOU ,13.30,K. Golladay WR - DET Q ,0.00,M. Pittman WR - IND ,1.90,Browns DEF ,8.00,Saints DEF ,7.00,-,-,-,-,121.56,Neil,94.40
alex,4,P. Mahomes QB - KC Q ,25.86,E. Elliott RB - DAL ,0.00,G. Edwards RB - BAL ,7.80,M. Evans WR - TB ,11.00,S. Diggs WR - BUF ,14.70,R. Tonyan TE - GB ,7.80,T. Patrick WR - DEN Q ,1.40,J. Slye K - CAR ,10.00,Ravens DEF ,10.00,M. Jones WR - DET ,17.20,D. Johnson RB - HOU Q ,0.00,J. McKissic RB - WAS ,16.70,S. Michel RB - NE ,8.20,D. Schultz TE - DAL ,7.40,T. Bass K - BUF ,12.00,D. Freeman RB ,0.00,-,-,88.56,-,-
Alessandro,8,R. Wilson QB - SEA ,12.04,K. Drake RB - ARI ,4.00,D. Cook RB - MIN ,21.90,A. Brown WR - TEN Q ,10.40,L. Shenault WR - JAX ,4.40,H. Henry TE - LAC ,12.50,S. Shepard WR - NYG ,4.80,J. Sanders K - MIA ,2.00,Colts DEF ,10.00,P. Barber RB - WAS ,6.50,B. Mayfield QB - CLE ,20.98,D. Chark WR - JAX Q ,5.30,A. Mattison RB - MIN ,1.50,H. Renfrow WR - LV ,0.40,C. Lamb WR - DAL ,14.50,J. Gordon WR - SEA SUS ,0.00,-,-,82.04,Peter,74.32
Daniel,10,D. Watson QB - HOU ,23.42,T. Gurley RB - ATL ,1.40,A. Ekeler RB - LAC Q ,7.90,A. Cooper WR - DAL Q ,0.30,K. Coutee WR - HOU ,9.30,E. Engram TE - NYG ,4.60,T. Johnson RB - NYJ ,11.50,W. Lutz K - NO ,3.00,Steelers DEF ,2.00,M. Stafford QB - DET ,15.28,J. Jones WR - ATL Q ,0.00,L. Fournette RB - TB ,18.50,M. Gallup WR - DAL ,8.60,J. Akins TE - HOU ,5.00,J. Meyers WR - NE ,9.10,J. Brown WR - BUF ,0.00,-,-,63.42,-,-
Neil,5,B. Roethlisberger QB - PIT ,6.70,D. Henry RB - TEN ,23.20,A. Jones RB - GB Q ,21.80,A. Robinson WR - CHI ,8.30,J. Smith-Schuster WR - PIT ,-0.50,J. Reed TE - SF ,7.80,J. Dobbins RB - BAL ,14.10,M. Gay K - LA ,8.00,Bears DEF ,5.00,C. Wentz QB - PHI ,0.00,H. Hurst TE - ATL ,8.10,C. Kirk WR - ARI ,3.30,Z. Moss RB - BUF IR ,8.10,M. Crosby K - GB ,8.00,Broncos DEF ,-1.00,-,-,-,-,94.40,Ryan,121.56
michael,7,T. Brady QB - TB ,23.40,M. Gordon RB - DEN ,20.10,J. Williams RB - GB ,2.00,K. Allen WR - LAC ,1.60,D. Adams WR - GB ,4.20,D. Waller TE - LV ,21.00,T. Hill WR - KC ,11.40,M. Prater K - DET ,7.00,Bills DEF ,12.00,L. Bell RB - KC ,13.60,J. McKinnon RB - SF ,2.20,J. Goff QB - LA ,15.26,A. Hooper TE - CLE ,10.10,M. Trubisky QB - CHI ,13.48,Patriots DEF ,4.00,T. Cohen RB - CHI IR ,0.00,-,-,102.70,Greg,97.56
Kevin,2,P. Rivers QB - IND ,17.02,R. Mostert RB - SF IR ,6.80,D. Montgomery RB - CHI ,28.20,C. Godwin WR - TB ,9.60,D. Metcalf WR - SEA ,4.30,D. Goedert TE - PHI Q ,3.90,A. Brown WR - TB ,15.30,R. Blankenship K - IND ,11.00,49ers DEF ,-2.00,E. Ebron TE - PIT Q ,0.00,J. Conner RB - PIT ,0.00,C. McCaffrey RB - CAR Q ,0.00,J. Wilson RB - SF ,12.00,J. Hurts QB - PHI ,37.82,Eagles DEF ,6.00,M. Gaskin RB - MIA ,0.00,-,-,94.12,Peter,119.74
Jeremy,6,R. Tannehill QB - TEN ,37.02,K. Hunt RB - CLE ,2.80,C. Carson RB - SEA ,6.90,C. Kupp WR - LA Q ,3.90,T. McLaurin WR - WAS ,7.70,N. Fant TE - DEN ,12.80,D. Johnson WR - PIT ,11.90,J. Myers K - SEA ,8.00,Giants DEF ,2.00,L. Murray RB - NO Q ,8.90,C. Hyde RB - SEA ,12.30,L. Thomas TE - WAS ,10.10,T. Pollard RB - DAL ,25.20,T. Higgins WR - CIN Q ,3.10,A. Gibson RB - WAS ,0.00,G. Kittle TE - SF ,0.00,-,-,93.02,-,-
Peter,9,A. Rodgers QB - GB ,18.32,D. Henderson RB - LA IR ,0.30,J. Taylor RB - IND ,15.50,D. Hopkins WR - ARI ,21.00,T. Lockett WR - SEA ,3.40,T. Hockenson TE - DET ,-0.20,T. Boyd WR - CIN ,0.00,R. Succop K - TB ,7.00,Dolphins DEF ,9.00,R. Gronkowski TE - TB ,2.90,C. Newton QB - NE ,12.16,A. Lazard WR - GB ,5.60,D. Harris RB - NE IR ,0.00,C. Edwards-Helaire RB - KC ,8.30,B. Aiyuk WR - SF Q ,13.30,D. Moore WR - CAR ,13.20,-,-,74.32,Alessandro,82.04
Greg,11,J. Herbert QB - LAC ,27.96,M. Sanders RB - PHI Q ,9.00,J. Robinson RB - JAX Q ,11.30,R. Woods WR - LA ,15.60,R. Anderson WR - CAR ,2.00,M. Andrews TE - BAL ,12.60,T. Hilton WR - IND ,7.10,H. Butker K - KC ,6.00,Packers DEF ,6.00,D. Booker RB - LV ,1.20,L. Jackson QB - BAL Q ,29.22,R. Jones RB - TB ,0.00,R. Gage WR - ATL ,12.80,M. Brown WR - BAL ,9.80,C. Claypool WR - PIT ,4.80,-,-,-,-,97.56,michael,102.70
