Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Peter,3,K. Murray QB - ARI Q ,7.90,G. Bernard RB - CIN ,4.90,N. Chubb RB - CLE ,23.60,D. Parker WR - MIA ,11.90,C. Ridley WR - ATL ,11.00,J. Smith TE - TEN ,0.00,M. Pittman WR - IND ,2.80,D. Carlson K - LV ,6.00,Packers DEF ,15.00,C. Beasley WR - BUF Q ,7.30,C. Davis WR - TEN ,7.00,M. Breida RB - MIA ,3.30,P. Lindsay RB - DEN IR ,2.00,Seahawks DEF ,9.00,A. Thielen WR - MIN ,0.00,J. Mixon RB - CIN IR ,0.00,-,-,83.10,david,41.60
david,12,D. Carr QB - LV ,0.60,M. Davis RB - CAR Q ,7.90,J. Jacobs RB - LV ,2.40,M. Thomas WR - NO Q ,5.10,C. Samuel WR - CAR ,7.70,M. Gesicki TE - MIA ,9.50,N. Agholor WR - LV ,5.40,J. Tucker K - BAL ,2.00,Cowboys DEF ,1.00,E. Sanders WR - NO ,0.40,J. Landry WR - CLE ,20.30,J. Crowder WR - NYJ ,3.10,W. Gallman RB - NYG ,15.10,D. Singletary RB - BUF ,8.20,Buccaneers DEF ,4.00,Z. Ertz TE - PHI ,0.00,-,-,41.60,Peter,83.10
Ryan,1,J. Allen QB - BUF ,15.48,A. Kamara RB - NO ,5.20,B. Hill RB - ATL ,5.50,B. Cooks WR - HOU ,8.50,J. Jefferson WR - MIN ,19.00,T. Kelce TE - KC ,8.20,D. Samuel WR - SF Q ,13.30,Y. Koo K - ATL ,21.00,Saints DEF ,14.00,K. Golladay WR - DET Q ,0.00,C. Edmonds RB - ARI ,4.30,K. Hinton WR ,-2.78,D. Swift RB - DET ,0.00,Chiefs DEF ,5.00,Rams DEF ,15.00,D. Johnson RB - HOU ,0.00,R. Penny RB - SEA Q ,0.00,110.18,Greg,96.64
alex,5,P. Mahomes QB - KC Q ,33.28,E. Elliott RB - DAL ,1.90,G. Edwards RB - BAL ,7.00,M. Jones WR - DET ,4.80,S. Diggs WR - BUF ,3.90,R. Tonyan TE - GB ,12.70,M. Evans WR - TB ,17.00,T. Bass K - BUF ,9.00,Browns DEF ,0.00,J. Cook TE - NO ,0.00,J. McKissic RB - WAS ,2.70,T. Patrick WR - DEN Q ,0.00,S. Michel RB - NE ,0.00,S. Ahmed RB - MIA ,0.00,Ravens DEF ,8.00,M. Ingram RB - BAL ,0.00,D. Freeman RB ,0.00,89.58,Peter,72.34
Alessandro,7,R. Wilson QB - SEA ,14.40,K. Drake RB - ARI ,21.30,D. Cook RB - MIN ,6.20,K. Cole WR - JAX ,4.40,A. Brown WR - TEN Q ,21.80,H. Henry TE - LAC ,6.70,D. Johnson RB - HOU Q ,14.00,J. Sanders K - MIA ,12.00,Colts DEF ,-3.00,J. Graham TE - CHI ,3.20,S. Watkins WR - KC ,3.80,D. Chark WR - JAX Q ,0.00,A. Mattison RB - MIN ,0.60,C. Lamb WR - DAL ,2.10,J. Reagor WR - PHI Q ,1.10,-,-,-,-,97.80,Jeremy,97.94
Daniel,10,D. Watson QB - HOU ,33.12,L. Fournette RB - TB ,2.00,A. Ekeler RB - LAC Q ,12.90,J. Meyers WR - NE ,5.20,D. Slayton WR - NYG ,0.00,E. Engram TE - NYG ,10.90,A. Cooper WR - DAL Q ,17.20,W. Lutz K - NO ,7.00,Steelers DEF ,14.00,M. Stafford QB - DET ,16.10,J. Jones WR - ATL Q ,0.00,T. Gurley RB - ATL ,0.00,M. Gallup WR - DAL ,4.10,J. Akins TE - HOU ,0.40,J. Brown WR - BUF ,0.00,-,-,-,-,102.32,Kevin,130.70
Neil,4,B. Roethlisberger QB - PIT ,12.54,D. Henry RB - TEN ,36.50,Z. Moss RB - BUF IR ,6.80,A. Robinson WR - CHI ,19.40,J. Smith-Schuster WR - PIT ,9.70,H. Hurst TE - ATL ,4.80,A. Jones RB - GB Q ,9.00,M. Crosby K - GB ,5.00,Broncos DEF ,4.00,C. Wentz QB - PHI ,18.80,T. Higbee TE - LA ,0.60,M. Williams WR - LAC ,2.60,C. Kirk WR - ARI ,1.90,J. Dobbins RB - BAL ,0.00,Bears DEF ,-4.00,-,-,-,-,107.74,michael,103.72
michael,8,J. Goff QB - LA ,3.02,M. Gordon RB - DEN ,3.10,J. Williams RB - GB ,13.30,K. Allen WR - LAC ,12.00,D. Adams WR - GB ,12.10,D. Waller TE - LV ,2.30,T. Hill WR - KC ,46.90,M. Prater K - DET ,5.00,Bills DEF ,6.00,T. Brady QB - TB ,21.70,L. Bell RB - KC ,3.20,J. McKinnon RB - SF ,3.20,A. Hooper TE - CLE ,7.30,J. Howard RB ,0.00,Patriots DEF ,5.00,T. Cohen RB - CHI IR ,0.00,-,-,103.72,Neil,107.74
Kevin,2,M. Ryan QB - ATL ,13.90,N. Hines RB - IND ,9.50,D. Montgomery RB - CHI ,20.30,W. Fuller WR - HOU ,29.10,D. Metcalf WR - SEA ,17.70,D. Goedert TE - PHI Q ,13.50,C. Godwin WR - TB ,9.70,R. Blankenship K - IND ,2.00,Football Team DEF ,15.00,F. Gore RB - NYJ IR ,8.60,A. Brown WR - TB ,1.10,E. Ebron TE - PIT Q ,5.40,R. Mostert RB - SF IR ,8.30,C. McCaffrey RB - CAR Q ,0.00,J. Wilkins RB - IND ,5.70,J. Conner RB - PIT ,0.00,M. Gaskin RB - MIA ,0.00,130.70,Daniel,102.32
Jeremy,6,R. Tannehill QB - TEN ,19.14,K. Hunt RB - CLE ,6.20,A. Gibson RB - WAS ,31.60,T. McLaurin WR - WAS ,9.20,D. Johnson WR - PIT ,4.60,N. Fant TE - DEN ,1.30,C. Carson RB - SEA ,11.90,R. Bullock K - CIN ,5.00,Giants DEF ,9.00,L. Murray RB - NO Q ,24.60,C. Hyde RB - SEA ,2.90,C. Kupp WR - LA Q ,4.10,T. Pollard RB - DAL ,2.20,B. Snell RB - PIT ,9.30,T. Higgins WR - CIN Q ,10.40,G. Kittle TE - SF ,0.00,-,-,97.94,Alessandro,97.80
