Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Peter,3,K. Murray QB - ARI Q ,16.42,G. Bernard RB - CIN ,2.90,N. Chubb RB - CLE ,16.60,D. Parker WR - MIA ,3.50,C. Ridley WR - ATL ,10.80,M. Gesicki TE - MIA ,14.80,A. Thielen WR - MIN ,13.50,D. Carlson K - LV ,7.00,Seahawks DEF ,7.00,A. Peterson RB - DET ,17.70,C. Beasley WR - BUF Q ,19.00,C. Davis WR - TEN ,24.20,J. Smith TE - TEN ,0.00,P. Lindsay RB - DEN IR ,2.60,M. Pittman WR - IND ,4.60,J. Mixon RB - CIN IR ,0.00,-,-,92.52,Ryan,125.20
david,12,D. Carr QB - LV ,31.74,W. Gallman RB - NYG ,13.50,D. Singletary RB - BUF ,8.30,J. Landry WR - CLE ,12.44,M. Thomas WR - NO Q ,10.50,Z. Ertz TE - PHI ,3.10,N. Agholor WR - LV ,3.80,J. Tucker K - BAL ,10.00,Raiders DEF ,8.00,J. Crowder WR - NYJ ,16.70,M. Davis RB - CAR Q ,0.00,C. Samuel WR - CAR ,0.00,T. Hill QB - NO Q ,23.58,J. Jacobs RB - LV ,0.00,Buccaneers DEF ,0.00,-,-,-,-,101.38,alex,106.02
Ryan,1,J. Allen QB - BUF ,30.10,D. Johnson RB - HOU ,10.40,A. Kamara RB - NO ,15.70,B. Cooks WR - HOU ,6.50,J. Jefferson WR - MIN ,18.30,T. Kelce TE - KC ,19.60,D. Samuel WR - SF Q ,7.60,Y. Koo K - ATL ,12.00,Chiefs DEF ,5.00,K. Golladay WR - DET Q ,0.00,C. Edmonds RB - ARI ,4.30,D. Swift RB - DET ,0.00,C. Akers RB - LA ,15.40,Rams DEF ,11.00,Saints DEF ,6.00,R. Penny RB - SEA Q ,0.00,-,-,125.20,Peter,92.52
alex,4,P. Mahomes QB - KC Q ,19.32,E. Elliott RB - DAL ,9.50,G. Edwards RB - BAL ,10.10,M. Jones WR - DET ,17.60,S. Diggs WR - BUF ,9.20,R. Tonyan TE - GB ,9.90,T. Patrick WR - DEN Q ,16.40,T. Bass K - BUF ,10.00,Ravens DEF ,4.00,M. Ingram RB - BAL ,2.90,M. Evans WR - TB ,0.00,J. McKissic RB - WAS ,7.80,S. Michel RB - NE ,5.80,D. Schultz TE - DAL ,4.40,S. Ahmed RB - MIA ,0.00,D. Freeman RB ,0.00,-,-,106.02,david,101.38
Alessandro,8,K. Cousins QB - MIN ,21.40,K. Drake RB - ARI ,11.80,D. Cook RB - MIN ,17.90,D. Chark WR - JAX Q ,4.10,A. Brown WR - TEN Q ,6.70,H. Henry TE - LAC ,0.50,S. Shepard WR - NYG ,4.20,J. Sanders K - MIA ,13.00,Colts DEF ,12.00,R. Wilson QB - SEA ,15.02,D. Johnson RB - HOU Q ,3.20,K. Cole WR - JAX ,0.70,A. Mattison RB - MIN ,0.00,H. Renfrow WR - LV ,4.70,C. Lamb WR - DAL ,4.60,J. Gordon WR - SEA SUS ,0.00,-,-,91.60,Greg,59.66
Daniel,10,D. Watson QB - HOU ,19.44,T. Gurley RB - ATL ,2.00,A. Ekeler RB - LAC Q ,6.80,J. Jones WR - ATL Q ,9.40,A. Cooper WR - DAL Q ,11.30,E. Engram TE - NYG ,3.20,J. Meyers WR - NE ,1.50,W. Lutz K - NO ,3.00,Steelers DEF ,3.00,M. Stafford QB - DET ,28.08,L. Fournette RB - TB ,0.00,M. Gallup WR - DAL ,14.60,J. Akins TE - HOU ,1.00,K. Coutee WR - HOU ,14.10,D. Slayton WR - NYG ,1.40,J. Brown WR - BUF ,0.00,-,-,59.64,Peter,82.90
Neil,5,B. Roethlisberger QB - PIT ,18.20,D. Henry RB - TEN ,4.90,A. Jones RB - GB Q ,20.80,A. Robinson WR - CHI ,7.50,J. Smith-Schuster WR - PIT ,2.80,H. Hurst TE - ATL ,0.90,J. Dobbins RB - BAL ,13.10,M. Crosby K - GB ,6.00,Bears DEF ,3.00,C. Wentz QB - PHI ,4.96,T. Higbee TE - LA ,8.40,M. Williams WR - LAC ,4.30,C. Kirk WR - ARI ,0.20,Z. Moss RB - BUF IR ,1.40,Broncos DEF ,1.00,-,-,-,-,77.20,Jeremy,80.06
michael,7,J. Goff QB - LA ,24.14,M. Gordon RB - DEN ,14.20,J. Williams RB - GB ,3.60,K. Allen WR - LAC ,4.80,D. Adams WR - GB ,24.10,D. Waller TE - LV ,34.00,T. Hill WR - KC ,8.80,M. Prater K - DET ,4.00,Bills DEF ,4.00,T. Brady QB - TB ,0.00,L. Bell RB - KC ,5.50,J. McKinnon RB - SF ,0.00,A. Hooper TE - CLE ,2.40,M. Trubisky QB - CHI ,13.28,Patriots DEF ,29.00,T. Cohen RB - CHI IR ,0.00,-,-,121.64,Kevin,73.22
Kevin,2,M. Ryan QB - ATL ,12.92,R. Mostert RB - SF IR ,4.30,D. Montgomery RB - CHI ,23.10,B. Perriman WR - NYJ ,2.20,D. Metcalf WR - SEA ,8.00,D. Goedert TE - PHI Q ,6.60,M. Gaskin RB - MIA ,12.10,R. Blankenship K - IND ,6.00,Titans DEF ,-2.00,F. Gore RB - NYJ IR ,0.20,A. Brown WR - TB ,0.00,E. Ebron TE - PIT Q ,6.80,C. McCaffrey RB - CAR Q ,0.00,C. Godwin WR - TB ,0.00,N. Hines RB - IND ,9.20,J. Conner RB - PIT ,0.00,-,-,73.22,michael,121.64
Jeremy,6,R. Tannehill QB - TEN ,27.56,K. Hunt RB - CLE ,5.70,C. Carson RB - SEA ,17.00,C. Kupp WR - LA Q ,7.30,T. McLaurin WR - WAS ,1.40,N. Fant TE - DEN ,5.70,A. Gibson RB - WAS ,1.40,R. Bullock K - CIN ,1.00,Giants DEF ,13.00,L. Murray RB - NO Q ,1.70,C. Hyde RB - SEA ,1.10,D. Johnson WR - PIT ,13.10,T. Pollard RB - DAL ,2.80,B. Snell RB - PIT ,1.00,T. Higgins WR - CIN Q ,5.60,G. Kittle TE - SF ,0.00,-,-,80.06,Neil,77.20
Peter,9,A. Rodgers QB - GB ,23.50,J. Taylor RB - IND ,19.50,C. Edwards-Helaire RB - KC ,0.00,D. Hopkins WR - ARI ,11.20,T. Lockett WR - SEA ,6.30,T. Hockenson TE - DET ,8.40,D. Moore WR - CAR ,0.00,R. Succop K - TB ,0.00,Dolphins DEF ,14.00,R. Gronkowski TE - TB ,0.00,C. Newton QB - NE ,23.56,T. Boyd WR - CIN ,13.20,A. Lazard WR - GB ,5.00,D. Harris RB - NE IR ,9.50,D. Henderson RB - LA IR ,13.40,B. Aiyuk WR - SF Q ,15.50,-,-,82.90,Daniel,59.64
Greg,11,J. Herbert QB - LAC ,4.36,M. Sanders RB - PHI Q ,3.10,J. Robinson RB - JAX Q ,16.80,R. Woods WR - LA ,8.50,C. Claypool WR - PIT ,3.80,K. Rudolph TE - MIN IR ,0.00,D. Booker RB - LV ,5.10,H. Butker K - KC ,16.00,Cardinals DEF ,2.00,R. Anderson WR - CAR ,0.00,R. Jones RB - TB ,0.00,M. Valdes-Scantling WR - GB ,-0.40,M. Brown WR - BAL ,9.90,T. Fulgham WR - PHI ,0.00,D. Mooney WR - CHI Q ,4.30,L. Jackson QB - BAL Q ,25.68,M. Andrews TE - BAL ,0.00,59.66,Alessandro,91.60
