Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Peter,3,K. Murray QB - ARI Q ,20.26,K. Ballage RB - LAC ,7.10,N. Chubb RB - CLE ,11.40,A. Thielen WR - MIN ,24.30,C. Ridley WR - ATL ,9.00,J. Smith TE - TEN ,8.00,G. Bernard RB - CIN ,5.50,D. Carlson K - LV ,7.00,Vikings DEF ,2.00,C. Beasley WR - BUF Q ,0.00,M. Brown RB - LA ,2.80,D. Parker WR - MIA ,12.10,C. Davis WR - TEN ,11.30,Packers DEF ,4.00,Seahawks DEF ,5.00,J. Mixon RB - CIN IR ,0.00,P. Campbell WR - IND IR ,0.00,94.56,Greg,94.54
david,12,J. Burrow QB - CIN IR ,11.32,M. Davis RB - CAR Q ,13.90,J. Jacobs RB - LV ,12.40,J. Landry WR - CLE ,2.60,M. Thomas WR - NO Q ,10.40,M. Gesicki TE - MIA ,4.30,J. Crowder WR - NYJ ,1.60,J. Tucker K - BAL ,10.00,Buccaneers DEF ,4.00,E. Sanders WR - NO ,6.60,R. Burkhead RB - NE IR ,1.20,N. Agholor WR - LV ,14.80,W. Gallman RB - NYG ,0.00,C. Samuel WR - CAR ,13.40,D. Singletary RB - BUF ,0.00,Z. Ertz TE - PHI ,0.00,-,-,70.52,Peter,78.14
Ryan,1,T. Hill QB - NO Q ,24.22,A. Kamara RB - NO ,10.50,C. Edmonds RB - ARI ,10.90,B. Cooks WR - HOU ,8.50,J. Jefferson WR - MIN ,14.60,T. Kelce TE - KC ,18.86,A. Peterson RB - DET ,1.80,Y. Koo K - ATL ,13.00,Saints DEF ,16.00,K. Golladay WR - DET Q ,0.00,J. Allen QB - BUF ,0.00,D. Samuel WR - SF Q ,0.00,D. Swift RB - DET ,0.00,Chiefs DEF ,1.00,Rams DEF ,5.00,D. Johnson RB - HOU ,0.00,R. Penny RB - SEA Q ,0.00,118.38,Jeremy,97.86
alex,5,P. Mahomes QB - KC Q ,21.52,E. Elliott RB - DAL ,17.40,S. Ahmed RB - MIA ,7.40,M. Jones WR - DET ,5.10,M. Evans WR - TB ,10.90,J. Cook TE - NO ,0.60,J. McKissic RB - WAS ,6.90,C. Boswell K - PIT ,9.00,Browns DEF ,20.00,M. Ingram RB - BAL ,0.20,S. Diggs WR - BUF ,0.00,T. Patrick WR - DEN Q ,11.90,R. Tonyan TE - GB ,10.40,G. Edwards RB - BAL ,0.60,Ravens DEF ,3.00,D. Freeman RB ,0.00,S. Michel RB - NE ,0.00,98.82,Kevin,85.98
Alessandro,6,R. Wilson QB - SEA ,20.08,K. Drake RB - ARI ,12.00,D. Cook RB - MIN ,20.00,D. Chark WR - JAX Q ,4.10,A. Brown WR - TEN Q ,12.20,H. Henry TE - LAC ,10.80,D. Johnson RB - HOU Q ,3.50,J. Sanders K - MIA ,9.00,Colts DEF ,8.00,D. Booker RB - LV ,1.90,J. Reynolds WR - LA ,3.20,K. Cole WR - JAX ,2.60,A. Mattison RB - MIN ,0.60,C. Lamb WR - DAL ,12.60,J. Reagor WR - PHI Q ,5.20,-,-,-,-,99.68,michael,104.54
Daniel,10,D. Watson QB - HOU ,31.36,T. Gurley RB - ATL ,2.90,L. Fournette RB - TB ,8.60,J. Jones WR - ATL Q ,3.90,J. Meyers WR - NE ,3.80,L. Thomas TE - WAS ,0.80,A. Cooper WR - DAL Q ,8.10,W. Lutz K - NO ,6.00,Steelers DEF ,17.00,M. Stafford QB - DET ,7.62,J. Brown WR - BUF ,0.00,E. Engram TE - NYG ,0.00,M. Gallup WR - DAL ,2.90,D. Slayton WR - NYG ,0.00,J. Kelley RB - LAC ,0.20,A. Ekeler RB - LAC Q ,0.00,-,-,82.46,Neil,88.08
Neil,4,B. Roethlisberger QB - PIT ,16.68,D. Henry RB - TEN ,19.20,A. Jones RB - GB Q ,13.10,J. Smith-Schuster WR - PIT ,1.90,C. Kirk WR - ARI ,5.00,H. Hurst TE - ATL ,0.00,M. Williams WR - LAC ,13.20,M. Crosby K - GB ,7.00,Broncos DEF ,12.00,A. Robinson WR - CHI ,0.00,C. Wentz QB - PHI ,14.40,T. Higbee TE - LA ,2.00,J. Dobbins RB - BAL ,16.50,Z. Moss RB - BUF IR ,0.00,Bears DEF ,0.00,-,-,-,-,88.08,Daniel,82.46
michael,7,T. Brady QB - TB ,12.64,M. Gordon RB - DEN ,18.40,J. Williams RB - GB ,7.60,K. Allen WR - LAC ,18.50,D. Adams WR - GB ,16.60,D. Waller TE - LV ,14.80,T. Hill WR - KC ,16.00,M. Prater K - DET ,0.00,Patriots DEF ,0.00,L. Bell RB - KC ,9.60,J. McKinnon RB - SF ,0.00,J. Goff QB - LA ,23.04,A. Hooper TE - CLE ,3.30,J. Howard RB ,0.00,Bills DEF ,0.00,T. Cohen RB - CHI IR ,0.00,-,-,104.54,Alessandro,99.68
Kevin,2,M. Ryan QB - ATL ,5.28,J. Conner RB - PIT ,9.90,N. Hines RB - IND ,5.30,W. Fuller WR - HOU ,8.00,D. Metcalf WR - SEA ,10.60,E. Ebron TE - PIT Q ,9.60,C. Godwin WR - TB ,11.30,R. Blankenship K - IND ,14.00,Football Team DEF ,12.00,A. Brown WR - TB ,5.80,C. McCaffrey RB - CAR Q ,0.00,M. Breida RB - MIA ,0.40,D. Goedert TE - PHI Q ,13.70,D. Montgomery RB - CHI ,0.00,T. Tagovailoa QB - MIA ,7.32,R. Mostert RB - SF IR ,0.00,M. Gaskin RB - MIA ,0.00,85.98,alex,98.82
Jeremy,9,R. Tannehill QB - TEN ,21.86,K. Hunt RB - CLE ,8.10,A. Gibson RB - WAS ,16.40,T. McLaurin WR - WAS ,8.40,D. Johnson WR - PIT ,11.10,N. Fant TE - DEN ,5.50,C. Hyde RB - SEA ,15.50,R. Bullock K - CIN ,5.00,Eagles DEF ,6.00,L. Murray RB - NO Q ,8.50,C. Kupp WR - LA Q ,14.50,C. Carson RB - SEA ,0.00,T. Pollard RB - DAL ,12.00,T. Higgins WR - CIN Q ,2.60,Giants DEF ,0.00,G. Kittle TE - SF ,0.00,-,-,97.86,Ryan,118.38
