Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Peter,3,K. Murray QB - ARI Q ,29.90,G. Bernard RB - CIN ,4.70,N. Chubb RB - CLE ,18.60,A. Thielen WR - MIN ,16.30,D. Parker WR - MIA ,3.10,J. Smith TE - TEN ,7.50,D. Dallas RB - SEA ,3.10,D. Carlson K - LV ,15.00,Packers DEF ,6.00,C. Beasley WR - BUF Q ,16.90,J. Mixon RB - CIN IR ,0.00,R. Nall RB - CHI ,1.80,C. Ridley WR - ATL ,0.00,K. Ballage RB - LAC ,10.20,M. Gesicki TE - MIA ,4.00,J. Jackson RB - LAC ,0.00,P. Campbell WR - IND IR ,0.00,104.20,Peter,97.50
david,12,J. Burrow QB - CIN IR ,12.52,M. Davis RB - CAR Q ,4.40,J. Jacobs RB - LV ,25.60,J. Landry WR - CLE ,2.90,M. Thomas WR - NO Q ,2.70,J. Graham TE - CHI ,0.00,N. Agholor WR - LV ,0.80,J. Tucker K - BAL ,5.00,Buccaneers DEF ,5.00,E. Sanders WR - NO ,0.50,J. Crowder WR - NYJ ,0.00,W. Gallman RB - NYG ,18.00,C. Samuel WR - CAR ,1.20,J. Akins TE - HOU ,0.50,D. Singletary RB - BUF ,1.00,Z. Ertz TE - PHI ,0.00,-,-,58.92,Kevin,66.16
Ryan,2,J. Allen QB - BUF ,26.36,C. Edmonds RB - ARI ,7.70,D. Swift RB - DET ,20.90,B. Cooks WR - HOU ,3.90,J. Jeudy WR - DEN ,6.80,J. Reed TE - SF ,6.20,A. Kamara RB - NO ,27.80,Z. Gonzalez K - ARI IR ,14.00,Saints DEF ,14.00,D. Brees QB - NO ,6.94,T. Kelce TE - KC ,0.00,K. Golladay WR - DET Q ,0.00,D. Samuel WR - SF Q ,0.00,J. Jefferson WR - MIN ,13.50,Y. Koo K - ATL ,0.00,D. Johnson RB - HOU ,0.00,-,-,127.66,michael,91.74
alex,5,D. Carr QB - LV ,7.16,J. McKissic RB - WAS ,10.90,S. Ahmed RB - MIA ,15.00,M. Evans WR - TB ,13.70,S. Diggs WR - BUF ,15.30,J. Cook TE - NO ,0.00,T. Patrick WR - DEN Q ,6.10,D. Bailey K - MIN ,7.00,Ravens DEF ,1.00,M. Ingram RB - BAL ,2.90,M. Jones WR - DET ,15.60,E. Elliott RB - DAL ,0.00,P. Mahomes QB - KC Q ,0.00,G. Edwards RB - BAL ,7.30,Browns DEF ,6.00,D. Freeman RB ,0.00,S. Michel RB - NE ,0.00,76.16,Neil,72.82
Alessandro,6,R. Wilson QB - SEA ,9.92,D. Johnson RB - HOU Q ,5.40,D. Cook RB - MIN ,11.20,D. Chark WR - JAX Q ,5.60,A. Brown WR - TEN Q ,2.10,R. Tonyan TE - GB ,3.30,J. Reynolds WR - LA ,9.40,C. Santos K - CHI ,7.00,Colts DEF ,8.00,A. Peterson RB - DET ,3.00,K. Drake RB - ARI ,8.90,H. Henry TE - LAC ,9.00,K. Cole WR - JAX ,16.70,A. Mattison RB - MIN ,0.40,C. Lamb WR - DAL ,0.00,-,-,-,-,61.92,Daniel,69.08
Daniel,10,D. Watson QB - HOU ,14.12,L. Fournette RB - TB ,3.00,J. Kelley RB - LAC ,2.10,J. Meyers WR - NE ,10.86,D. Slayton WR - NYG ,9.30,E. Engram TE - NYG ,1.50,J. Brown WR - BUF ,7.20,W. Lutz K - NO ,9.00,Steelers DEF ,12.00,M. Stafford QB - DET ,23.04,J. Jones WR - ATL Q ,0.00,T. Gurley RB - ATL ,0.00,A. Cooper WR - DAL Q ,0.00,M. Gallup WR - DAL ,0.00,L. Perine RB - NYJ COV ,0.00,A. Ekeler RB - LAC Q ,0.00,-,-,69.08,Alessandro,61.92
Neil,4,C. Wentz QB - PHI ,8.72,D. Henry RB - TEN ,10.90,A. Jones RB - GB Q ,9.50,A. Robinson WR - CHI ,4.30,J. Smith-Schuster WR - PIT ,13.70,T. Higbee TE - LA ,6.00,Z. Moss RB - BUF IR ,1.70,M. Crosby K - GB ,6.00,Bears DEF ,12.00,B. Roethlisberger QB - PIT ,29.32,M. Williams WR - LAC ,3.80,P. Lindsay RB - DEN IR ,0.20,H. Hurst TE - ATL ,0.00,C. Kirk WR - ARI ,2.70,J. Dobbins RB - BAL ,1.40,-,-,-,-,72.82,alex,76.16
michael,9,T. Brady QB - TB ,31.84,J. McKinnon RB - SF ,4.60,M. Gordon RB - DEN ,4.60,K. Allen WR - LAC ,9.90,D. Adams WR - GB ,10.60,D. Waller TE - LV ,3.70,J. Williams RB - GB ,5.50,M. Prater K - DET ,16.00,Patriots DEF ,5.00,L. Bell RB - KC ,0.00,J. Goff QB - LA ,10.48,A. Hooper TE - CLE ,1.10,J. Howard RB ,0.00,T. Hill WR - KC ,0.00,Bills DEF ,6.00,T. Cohen RB - CHI IR ,0.00,-,-,91.74,Ryan,127.66
Kevin,1,T. Tagovailoa QB - MIA ,14.66,M. Brown RB - LA ,17.10,J. Conner RB - PIT ,4.80,W. Fuller WR - HOU ,3.80,D. Metcalf WR - SEA ,2.80,E. Ebron TE - PIT Q ,3.80,C. Godwin WR - TB ,9.20,R. Blankenship K - IND ,10.00,Football Team DEF ,0.00,M. Ryan QB - ATL ,0.00,A. Brown WR - TB ,6.60,C. McCaffrey RB - CAR Q ,0.00,M. Breida RB - MIA ,0.00,D. Goedert TE - PHI Q ,3.30,D. Montgomery RB - CHI ,0.00,R. Mostert RB - SF IR ,0.00,M. Gaskin RB - MIA ,0.00,66.16,david,58.92
Jeremy,7,R. Tannehill QB - TEN ,10.78,K. Hunt RB - CLE ,13.20,A. Gibson RB - WAS ,18.50,T. McLaurin WR - WAS ,10.20,T. Higgins WR - CIN Q ,15.50,N. Fant TE - DEN ,1.80,C. Kupp WR - LA Q ,5.00,T. Bass K - BUF ,18.00,Giants DEF ,4.00,L. Murray RB - NO Q ,5.70,C. Carson RB - SEA ,0.00,D. Johnson WR - PIT ,17.60,T. Pollard RB - DAL ,0.00,J. Hasty RB - SF IR ,0.90,R. Bullock K - CIN ,4.00,G. Kittle TE - SF ,0.00,-,-,96.98,Greg,72.76
