Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Peter,4,T. Bridgewater QB - CAR Q ,12.04,G. Bernard RB - CIN ,19.80,B. Scott RB - PHI ,7.90,A. Thielen WR - MIN ,2.70,C. Ridley WR - ATL ,4.20,J. Smith TE - TEN ,2.90,D. Parker WR - MIA ,6.30,D. Carlson K - LV ,10.00,Titans DEF ,-1.00,F. Gore RB - NYJ IR ,3.00,C. Beasley WR - BUF Q ,2.40,J. Mixon RB - CIN IR ,0.00,J. Jackson RB - LAC ,14.20,M. Gesicki TE - MIA ,0.80,K. Murray QB - ARI Q ,0.00,N. Chubb RB - CLE ,0.00,P. Campbell WR - IND IR ,0.00,64.84,Kevin,102.34
david,12,J. Burrow QB - CIN IR ,18.86,M. Davis RB - CAR Q ,7.70,D. Singletary RB - BUF ,9.20,J. Landry WR - CLE ,5.20,N. Agholor WR - LV ,0.00,H. Bryant TE - CLE ,0.50,J. Jacobs RB - LV ,12.90,J. Tucker K - BAL ,8.00,Buccaneers DEF ,7.00,J. Garoppolo QB - SF IR ,1.76,J. Crowder WR - NYJ ,0.00,M. Thomas WR - NO Q ,0.00,W. Gallman RB - NYG ,12.20,G. Ward WR - PHI ,1.20,J. Akins TE - HOU ,0.00,E. Sanders WR - NO ,0.00,Z. Ertz TE - PHI ,0.00,69.36,Alessandro,114.54
Ryan,2,J. Allen QB - BUF ,12.46,A. Kamara RB - NO ,16.30,D. Swift RB - DET ,2.30,K. Golladay WR - DET Q ,0.00,J. Jefferson WR - MIN ,2.60,T. Kelce TE - KC ,16.90,A. Green WR - CIN ,1.90,Y. Koo K - ATL ,13.00,Eagles DEF ,20.00,M. Brown RB - LA ,5.70,D. Johnson RB - HOU ,0.00,C. Edmonds RB - ARI ,0.00,D. Harris RB - NE IR ,16.20,D. Samuel WR - SF Q ,0.00,L. Shenault WR - JAX ,0.00,T. Coleman RB - SF ,2.00,J. Reagor WR - PHI Q ,10.20,85.46,alex,116.54
alex,7,P. Mahomes QB - KC Q ,38.64,E. Elliott RB - DAL ,7.30,N. Hines RB - IND ,18.20,M. Evans WR - TB ,11.50,S. Diggs WR - BUF ,9.20,J. Cook TE - NO ,11.10,H. Renfrow WR - LV ,8.60,J. Slye K - CAR ,5.00,Chiefs DEF ,7.00,M. Ingram RB - BAL ,0.00,D. Freeman RB ,0.00,C. Hyde RB - SEA ,0.00,T. Higbee TE - LA ,1.40,T. Patrick WR - DEN Q ,0.00,Ravens DEF ,4.00,S. Michel RB - NE ,0.00,-,-,116.54,Ryan,85.46
Alessandro,6,R. Wilson QB - SEA ,28.74,D. Cook RB - MIN ,46.60,A. Mattison RB - MIN ,0.80,C. Davis WR - TEN ,18.80,A. Brown WR - TEN Q ,8.40,H. Henry TE - LAC ,3.30,H. Ruggs WR - LV Q ,0.90,B. McManus K - DEN ,7.00,Packers DEF ,0.00,A. Peterson RB - DET ,1.20,K. Drake RB - ARI ,0.00,K. Cole WR - JAX ,0.00,R. Tonyan TE - GB ,7.90,D. Chark WR - JAX Q ,0.00,C. Lamb WR - DAL ,4.60,-,-,-,-,114.54,david,69.36
Daniel,10,M. Stafford QB - DET ,22.44,T. Gurley RB - ATL ,10.60,L. Fournette RB - TB ,7.10,J. Jones WR - ATL Q ,13.70,A. Cooper WR - DAL Q ,0.50,E. Engram TE - NYG ,7.00,D. Slayton WR - NYG ,5.60,W. Lutz K - NO ,14.00,Steelers DEF ,18.00,J. Brown WR - BUF ,2.10,D. Watson QB - HOU ,0.00,M. Gallup WR - DAL ,6.10,R. Gage WR - ATL ,2.50,L. Perine RB - NYJ COV ,3.30,J. Kelley RB - LAC ,2.50,A. Ekeler RB - LAC Q ,0.00,-,-,98.94,Greg,70.22
Neil,3,C. Wentz QB - PHI ,8.62,D. Henry RB - TEN ,17.20,J. Dobbins RB - BAL ,12.10,J. Smith-Schuster WR - PIT ,6.70,M. Williams WR - LAC ,16.00,H. Hurst TE - ATL ,5.40,A. Robinson WR - CHI ,14.70,M. Crosby K - GB ,2.00,Bears DEF ,1.00,B. Roethlisberger QB - PIT ,15.28,A. Jones RB - GB Q ,0.00,P. Lindsay RB - DEN IR ,14.60,C. Kirk WR - ARI ,0.00,Z. Moss RB - BUF IR ,20.10,Z. Gonzalez K - ARI IR ,0.00,-,-,-,-,83.72,Peter,69.44
michael,11,T. Brady QB - TB ,19.06,M. Gordon RB - DEN ,4.70,J. Williams RB - GB ,12.20,D. Adams WR - GB ,23.30,T. Hill WR - KC ,21.80,D. Waller TE - LV ,2.70,K. Allen WR - LAC ,12.70,M. Prater K - DET ,3.00,Bills DEF ,4.00,L. Bell RB - KC ,3.80,J. McKinnon RB - SF ,9.90,J. Goff QB - LA ,10.20,A. Hooper TE - CLE ,0.00,J. Howard RB ,0.00,Patriots DEF ,3.00,T. Cohen RB - CHI IR ,0.00,-,-,103.46,Jeremy,69.72
Kevin,1,M. Ryan QB - ATL ,17.94,J. Conner RB - PIT ,12.00,D. Montgomery RB - CHI ,10.50,D. Metcalf WR - SEA ,28.10,S. Miller WR - TB ,4.20,J. Graham TE - CHI ,1.30,M. Gaskin RB - MIA ,10.30,R. Blankenship K - IND ,3.00,Colts DEF ,15.00,A. Brown WR - TB ,0.00,R. Mostert RB - SF IR ,0.00,W. Fuller WR - HOU ,0.00,C. Godwin WR - TB ,0.00,T. Tagovailoa QB - MIA ,5.72,Football Team DEF ,0.00,C. McCaffrey RB - CAR Q ,0.00,D. Goedert TE - PHI Q ,1.50,102.34,Peter,64.84
Jeremy,8,R. Tannehill QB - TEN ,17.32,L. Murray RB - NO Q ,3.10,K. Hunt RB - CLE ,7.30,C. Kupp WR - LA Q ,11.00,T. Higgins WR - CIN Q ,8.40,G. Kittle TE - SF ,3.90,N. Fant TE - DEN ,4.70,R. Bullock K - CIN ,7.00,Saints DEF ,7.00,C. Carson RB - SEA ,0.00,T. McLaurin WR - WAS ,0.00,D. Johnson WR - PIT ,0.60,T. Pollard RB - DAL ,6.40,J. Hasty RB - SF IR ,9.10,A. Gibson RB - WAS ,0.00,-,-,-,-,69.72,michael,103.46
