Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Peter,2,K. Murray QB - ARI Q ,23.12,J. Mixon RB - CIN IR ,36.10,N. Chubb RB - CLE ,4.30,A. Thielen WR - MIN ,18.20,D. Parker WR - MIA ,11.00,M. Gesicki TE - MIA ,1.50,C. Ridley WR - ATL ,0.00,R. Gould K - SF ,2.00,Colts DEF ,7.00,C. Beasley WR - BUF Q ,9.20,G. Bernard RB - CIN ,1.90,J. Smith TE - TEN ,0.00,G. Ward WR - PHI ,3.80,T. Homer RB - SEA IR ,6.80,J. Jeudy WR - DEN ,12.10,P. Campbell WR - IND IR ,0.00,R. Armstead RB - JAX COV ,0.00,103.22,Alessandro,100.60
david,11,L. Jackson QB - BAL Q ,25.02,M. Davis RB - CAR Q ,17.10,D. Singletary RB - BUF ,13.70,E. Sanders WR - NO ,9.30,O. Beckham WR - CLE IR ,33.40,Z. Ertz TE - PHI ,2.90,J. Crowder WR - NYJ ,10.40,J. Tucker K - BAL ,7.00,Bills DEF ,6.00,A. Jeffery WR - PHI ,0.00,J. Landry WR - CLE ,10.28,M. Brown RB - LA ,5.70,B. Perriman WR - NYJ ,0.00,M. Thomas WR - NO Q ,0.00,B. Hill RB - ATL ,2.30,-,-,-,-,124.82,michael,100.06
Ryan,1,J. Allen QB - BUF ,25.42,D. Johnson RB - HOU ,9.20,A. Kamara RB - NO ,17.90,K. Golladay WR - DET Q ,12.20,M. Gallup WR - DAL ,2.90,T. Kelce TE - KC ,7.00,J. Jefferson WR - MIN ,10.30,Z. Gonzalez K - ARI IR ,3.00,Buccaneers DEF ,6.00,R. Tonyan TE - GB ,27.80,C. Edmonds RB - ARI ,10.00,N. Harry WR - NE ,8.10,Z. Moss RB - BUF IR ,0.00,D. Swift RB - DET ,11.20,L. Shenault WR - JAX ,9.10,D. Harris RB - NE IR ,10.00,D. Samuel WR - SF Q ,4.50,93.92,Neil,92.98
alex,7,P. Mahomes QB - KC Q ,20.24,M. Ingram RB - BAL ,9.70,E. Elliott RB - DAL ,12.50,M. Evans WR - TB ,18.20,S. Diggs WR - BUF ,11.50,T. Higbee TE - LA ,2.00,T. Hilton WR - IND ,2.90,G. Zuerlein K - DAL ,2.00,Ravens DEF ,6.00,J. Cook TE - NO ,0.00,R. Fitzpatrick QB - MIA ,21.30,B. Cooks WR - HOU ,0.00,D. Freeman RB ,6.80,C. Hyde RB - SEA ,0.00,S. Michel RB - NE ,0.00,-,-,-,-,85.04,Daniel,82.90
Alessandro,6,R. Wilson QB - SEA ,20.90,K. Drake RB - ARI ,3.50,D. Cook RB - MIN ,26.60,D. Chark WR - JAX Q ,21.50,H. Renfrow WR - LV ,5.70,H. Henry TE - LAC ,3.90,M. Valdes-Scantling WR - GB ,4.50,H. Butker K - KC ,8.00,49ers DEF ,6.00,A. Peterson RB - DET ,9.60,C. Davis WR - TEN ,0.00,K. Cole WR - JAX ,4.60,A. Brown WR - TEN Q ,0.00,A. Mattison RB - MIN ,7.70,C. Lamb WR - DAL ,20.20,-,-,-,-,100.60,Peter,103.22
Daniel,12,D. Watson QB - HOU ,20.90,T. Gurley RB - ATL ,18.30,A. Ekeler RB - LAC Q ,1.40,J. Jones WR - ATL Q ,3.20,A. Cooper WR - DAL Q ,21.40,E. Engram TE - NYG ,3.50,J. Brown WR - BUF ,4.20,W. Lutz K - NO ,5.00,Seahawks DEF ,5.00,M. Stafford QB - DET ,22.34,L. Fournette RB - TB ,0.00,R. Gage WR - ATL ,2.00,D. Slayton WR - NYG ,4.80,J. Kelley RB - LAC ,1.30,Steelers DEF ,0.00,-,-,-,-,82.90,alex,85.04
Neil,5,D. Prescott QB - DAL IR ,39.28,N. Hines RB - IND ,3.20,J. Dobbins RB - BAL ,1.70,A. Robinson WR - CHI ,16.10,P. Williams WR - MIA IR ,3.50,H. Hurst TE - ATL ,5.10,A. Jones RB - GB Q ,17.10,J. Elliott K - PHI ,5.00,Bears DEF ,2.00,D. Henry RB - TEN ,0.00,J. Smith-Schuster WR - PIT ,0.00,M. Williams WR - LAC ,0.00,P. Lindsay RB - DEN IR ,0.00,C. Kirk WR - ARI ,7.90,C. Akers RB - LA ,0.00,-,-,-,-,92.98,Ryan,93.92
michael,9,T. Brady QB - TB ,32.46,M. Gordon RB - DEN ,23.80,J. Williams RB - GB ,10.50,M. Jones WR - DET ,0.90,T. Hill WR - KC ,12.40,D. Waller TE - LV ,6.80,K. Allen WR - LAC ,6.20,M. Prater K - DET ,3.00,Football Team DEF ,4.00,S. Watkins WR - KC ,2.30,D. Adams WR - GB ,0.00,J. Goff QB - LA ,11.70,A. Hooper TE - CLE ,9.40,Patriots DEF ,4.00,L. Bell RB - KC ,0.00,T. Cohen RB - CHI IR ,0.00,-,-,100.06,david,124.82
Kevin,3,M. Ryan QB - ATL ,12.40,M. Gaskin RB - MIA ,6.20,D. Montgomery RB - CHI ,7.70,W. Fuller WR - HOU ,16.80,D. Metcalf WR - SEA ,10.60,J. Graham TE - CHI ,3.30,J. McKinnon RB - SF ,15.70,R. Blankenship K - IND ,13.00,Saints DEF ,4.00,D. Jackson WR - PHI Q ,0.00,R. Mostert RB - SF IR ,0.00,J. Conner RB - PIT ,0.00,C. Godwin WR - TB ,0.00,M. Hardman WR - KC ,8.70,G. Minshew QB - JAX ,20.94,C. McCaffrey RB - CAR Q ,0.00,D. Goedert TE - PHI Q ,0.00,89.70,Greg,88.80
Jeremy,8,D. Brees QB - NO ,15.54,K. Hunt RB - CLE ,19.10,C. Carson RB - SEA ,22.00,C. Kupp WR - LA Q ,12.70,T. McLaurin WR - WAS ,11.80,N. Fant TE - DEN ,3.50,G. Kittle TE - SF ,25.10,R. Bullock K - CIN ,15.00,Cardinals DEF ,1.00,A. Green WR - CIN ,0.30,L. Murray RB - NO Q ,20.30,R. Anderson WR - CAR ,9.90,D. Johnson WR - PIT ,0.00,T. Pollard RB - DAL ,9.20,T. Higgins WR - CIN Q ,9.00,-,-,-,-,125.74,Peter,78.18
