Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Peter,4,K. Murray QB - ARI Q ,32.14,J. Mixon RB - CIN IR ,8.60,N. Chubb RB - CLE ,25.30,A. Thielen WR - MIN ,3.10,C. Ridley WR - ATL ,22.90,J. Smith TE - TEN ,20.40,P. Campbell WR - IND IR ,0.70,R. Gould K - SF ,7.00,Browns DEF ,4.00,D. Parker WR - MIA ,11.30,S. Shepard WR - NYG ,3.50,K. Johnson RB - DET ,9.20,M. Gesicki TE - MIA ,19.00,B. Snell RB - PIT ,-1.90,J. Jeudy WR - DEN ,6.20,R. Armstead RB - JAX COV ,0.00,-,-,124.14,Ryan,135.40
david,12,L. Jackson QB - BAL Q ,17.56,M. Brown RB - LA ,4.70,D. Singletary RB - BUF ,7.60,D. Jackson WR - PHI Q ,6.40,E. Sanders WR - NO ,1.80,Z. Ertz TE - PHI ,4.20,O. Beckham WR - CLE IR ,13.40,J. Tucker K - BAL ,15.00,Bills DEF ,2.00,A. Jeffery WR - PHI ,0.00,J. Landry WR - CLE ,4.60,J. Crowder WR - NYJ ,0.00,B. Perriman WR - NYJ ,1.20,M. Thomas WR - NO Q ,0.00,D. Williams RB - KC ,1.20,-,-,-,-,72.66,alex,130.18
Ryan,5,J. Allen QB - BUF ,36.50,D. Johnson RB - HOU ,5.00,J. Conner RB - PIT ,18.10,M. Gallup WR - DAL ,5.80,C. Sutton WR - DEN IR ,6.60,T. Kelce TE - KC ,15.00,A. Kamara RB - NO ,29.40,J. Myers K - SEA ,5.00,Buccaneers DEF ,14.00,C. Edmonds RB - ARI ,1.30,D. Goedert TE - PHI Q ,3.00,B. Scott RB - PHI ,4.30,D. Swift RB - DET ,7.20,L. Shenault WR - JAX ,7.20,H. Ruggs WR - LV Q ,0.40,R. Penny RB - SEA Q ,0.00,D. Samuel WR - SF Q ,0.00,135.40,Peter,124.14
alex,7,P. Mahomes QB - KC Q ,27.48,M. Ingram RB - BAL ,13.70,E. Elliott RB - DAL ,16.20,T. Hilton WR - IND ,2.80,S. Diggs WR - BUF ,21.30,J. Cook TE - NO ,7.30,M. Evans WR - TB ,16.40,G. Zuerlein K - DAL ,10.00,Ravens DEF ,15.00,B. Cooks WR - HOU ,9.50,D. Freeman RB ,0.00,C. Hyde RB - SEA ,3.70,T. Higbee TE - LA ,23.40,J. Howard RB ,6.40,P. Barber RB - WAS ,0.10,-,-,-,-,130.18,david,72.66
Alessandro,2,R. Wilson QB - SEA ,33.42,K. Drake RB - ARI ,9.50,D. Cook RB - MIN ,15.10,C. Davis WR - TEN ,9.60,D. Chark WR - JAX Q ,8.40,H. Henry TE - LAC ,8.30,S. Miller WR - TB ,1.20,H. Butker K - KC ,13.00,49ers DEF ,5.00,F. Gore RB - NYJ IR ,6.30,A. Peterson RB - DET ,4.10,M. Valdes-Scantling WR - GB ,6.40,A. Brown WR - TEN Q ,0.00,A. Mattison RB - MIN ,1.60,C. Lamb WR - DAL ,11.50,-,-,-,-,103.52,Greg,78.08
Daniel,10,D. Watson QB - HOU ,14.70,T. Gurley RB - ATL ,6.10,A. Ekeler RB - LAC Q ,14.80,J. Jones WR - ATL Q ,2.40,A. Cooper WR - DAL Q ,10.00,E. Engram TE - NYG ,6.50,L. Fournette RB - TB ,23.60,W. Lutz K - NO ,6.00,Steelers DEF ,13.00,M. Stafford QB - DET ,16.16,L. Fitzgerald WR - ARI Q ,5.00,J. Brown WR - BUF ,14.20,R. Gage WR - ATL ,10.60,D. Slayton WR - NYG ,3.30,J. Kelley RB - LAC ,11.30,-,-,-,-,97.10,Peter,100.90
Neil,6,D. Prescott QB - DAL IR ,41.80,D. Henry RB - TEN ,8.40,A. Jones RB - GB Q ,41.60,A. Robinson WR - CHI ,3.30,J. Smith-Schuster WR - PIT ,4.80,H. Hurst TE - ATL ,13.20,J. Dobbins RB - BAL ,6.10,J. Elliott K - PHI ,7.00,Bears DEF ,12.00,M. Williams WR - LAC ,1.40,P. Lindsay RB - DEN IR ,0.00,N. Hines RB - IND ,0.40,C. Kirk WR - ARI ,6.00,P. Williams WR - MIA IR ,4.60,C. Akers RB - LA ,1.30,-,-,-,-,138.20,Jeremy,91.88
michael,9,T. Brady QB - TB ,8.68,M. Gordon RB - DEN ,14.40,T. Cohen RB - CHI IR ,2.70,D. Adams WR - GB ,3.60,T. Hill WR - KC ,16.80,D. Waller TE - LV ,16.50,K. Allen WR - LAC ,9.60,M. Prater K - DET ,3.00,Football Team DEF ,4.00,M. Jones WR - DET ,8.30,L. Bell RB - KC ,0.00,S. Watkins WR - KC ,1.10,J. Goff QB - LA ,23.98,A. Hooper TE - CLE ,2.20,Patriots DEF ,6.00,-,-,-,-,79.28,Kevin,121.52
Kevin,1,M. Ryan QB - ATL ,28.52,R. Mostert RB - SF IR ,16.70,C. McCaffrey RB - CAR Q ,20.80,W. Fuller WR - HOU ,0.00,D. Metcalf WR - SEA ,15.20,L. Thomas TE - WAS ,2.60,D. Montgomery RB - CHI ,18.70,Y. Koo K - ATL ,15.00,Saints DEF ,4.00,J. McKinnon RB - SF ,13.70,K. Golladay WR - DET Q ,0.00,C. Godwin WR - TB ,0.00,A. Miller WR - CHI ,0.00,G. Minshew QB - JAX ,23.46,Z. Moss RB - BUF IR ,3.70,D. Harris RB - NE IR ,0.00,-,-,121.52,michael,79.28
Jeremy,11,D. Brees QB - NO ,14.48,C. Carson RB - SEA ,16.80,S. Barkley RB - NYG IR ,2.80,A. Green WR - CIN ,2.90,C. Kupp WR - LA Q ,8.00,N. Fant TE - DEN ,13.70,D. Johnson WR - PIT ,15.20,S. Gostkowski K - TEN ,11.00,Rams DEF ,7.00,L. Murray RB - NO Q ,3.30,R. Anderson WR - CAR ,8.90,K. Hunt RB - CLE ,22.10,G. Kittle TE - SF ,0.00,T. McLaurin WR - WAS ,18.50,T. Pollard RB - DAL ,0.90,-,-,-,-,91.88,Neil,138.20
