Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Peter,2,K. Murray QB - ARI Q ,28.92,F. Gore RB - NYJ IR ,7.00,J. Mixon RB - CIN IR ,12.90,A. Thielen WR - MIN ,11.10,C. Ridley WR - ATL ,12.90,J. Smith TE - TEN ,1.30,D. Parker WR - MIA ,3.50,J. Sanders K - MIA ,6.00,Colts DEF ,4.00,J. Edelman WR - NE IR ,2.32,C. Beasley WR - BUF Q ,10.50,G. Bernard RB - CIN ,8.80,J. Jackson RB - LAC ,0.00,M. Gesicki TE - MIA ,0.00,Z. Moss RB - BUF IR ,1.00,N. Chubb RB - CLE ,0.00,P. Campbell WR - IND IR ,0.00,87.62,Neil,102.64
david,9,L. Jackson QB - BAL Q ,28.24,M. Davis RB - CAR Q ,9.50,D. Singletary RB - BUF ,4.50,O. Beckham WR - CLE IR ,2.50,J. Crowder WR - NYJ ,4.80,Z. Ertz TE - PHI ,3.30,J. Landry WR - CLE ,4.00,J. Tucker K - BAL ,14.00,Buccaneers DEF ,19.00,E. Sanders WR - NO ,0.00,A. Jeffery WR - PHI ,0.00,M. Brown RB - LA ,2.20,M. Thomas WR - NO Q ,0.00,K. Johnson RB - DET ,2.00,K. Ballage RB - LAC ,0.00,-,-,-,-,89.84,Greg,83.08
Ryan,3,J. Allen QB - BUF ,15.08,D. Johnson RB - HOU ,12.90,C. Edmonds RB - ARI ,2.90,K. Golladay WR - DET Q ,10.50,L. Shenault WR - JAX ,1.10,T. Kelce TE - KC ,16.50,J. Jefferson WR - MIN ,30.60,Y. Koo K - ATL ,18.00,Football Team DEF ,4.00,J. White RB - NE ,7.30,A. Kamara RB - NO ,0.00,M. Gallup WR - DAL ,2.30,D. Samuel WR - SF Q ,12.00,D. Swift RB - DET ,24.30,Bills DEF ,3.00,R. Penny RB - SEA Q ,0.00,J. Reagor WR - PHI Q ,0.00,111.58,Peter,80.30
alex,6,P. Mahomes QB - KC Q ,20.60,D. Freeman RB ,5.70,E. Elliott RB - DAL ,4.00,M. Evans WR - TB ,1.00,S. Diggs WR - BUF ,10.60,T. Higbee TE - LA ,5.60,M. Ingram RB - BAL ,2.00,S. Gostkowski K - TEN ,4.00,Ravens DEF ,7.00,J. Cook TE - NO ,0.00,R. Fitzpatrick QB - MIA ,16.04,T. Hilton WR - IND ,1.10,C. Hyde RB - SEA ,0.00,T. Patrick WR - DEN Q ,10.10,Chiefs DEF ,3.00,S. Michel RB - NE ,0.00,-,-,60.50,Jeremy,86.94
Alessandro,5,A. Dalton QB - DAL ,11.04,K. Drake RB - ARI ,28.40,A. Mattison RB - MIN ,3.00,D. Chark WR - JAX Q ,4.50,A. Brown WR - TEN Q ,17.80,R. Tonyan TE - GB ,2.50,C. Lamb WR - DAL ,6.40,H. Butker K - KC ,8.00,Giants DEF ,14.00,A. Peterson RB - DET ,11.80,R. Wilson QB - SEA ,0.00,H. Henry TE - LAC ,0.00,D. Cook RB - MIN ,0.00,K. Cole WR - JAX ,14.30,H. Ruggs WR - LV Q ,0.00,C. Davis WR - TEN ,0.00,-,-,95.64,Kevin,99.12
Daniel,11,D. Watson QB - HOU ,32.00,T. Gurley RB - ATL ,6.70,L. Perine RB - NYJ COV ,3.60,J. Jones WR - ATL Q ,25.70,A. Cooper WR - DAL Q ,13.90,E. Engram TE - NYG ,3.00,D. Slayton WR - NYG ,9.80,G. Gano K - NYG ,8.00,Steelers DEF ,18.00,M. Stafford QB - DET ,12.32,J. Brown WR - BUF ,0.00,L. Fournette RB - TB ,0.00,R. Gage WR - ATL ,6.50,J. Kelley RB - LAC ,0.00,W. Lutz K - NO ,0.00,A. Ekeler RB - LAC Q ,0.00,-,-,120.70,michael,48.74
Neil,4,J. Flacco QB - NYJ ,5.44,D. Henry RB - TEN ,40.40,P. Lindsay RB - DEN IR ,10.10,A. Robinson WR - CHI ,5.30,J. Smith-Schuster WR - PIT ,0.60,H. Hurst TE - ATL ,11.70,A. Jones RB - GB Q ,10.10,Z. Gonzalez K - ARI IR ,8.00,Bears DEF ,11.00,D. Prescott QB - DAL IR ,0.00,M. Williams WR - LAC ,0.00,N. Hines RB - IND ,2.70,C. Kirk WR - ARI ,20.60,J. Dobbins RB - BAL ,2.90,C. Akers RB - LA ,0.00,-,-,-,-,102.64,Peter,87.62
michael,12,T. Brady QB - TB ,14.64,J. Williams RB - GB ,3.40,J. Wilkins RB - IND ,-0.10,D. Adams WR - GB ,6.10,T. Hill WR - KC ,2.50,A. Hooper TE - CLE ,5.20,J. Howard RB ,0.00,M. Prater K - DET ,10.00,Patriots DEF ,7.00,K. Allen WR - LAC ,0.00,L. Bell RB - KC ,0.00,S. Watkins WR - KC ,0.00,D. Waller TE - LV ,0.00,M. Gordon RB - DEN ,0.00,J. Goff QB - LA ,14.92,T. Cohen RB - CHI IR ,0.00,-,-,48.74,Daniel,120.70
Kevin,1,G. Minshew QB - JAX ,17.12,R. Mostert RB - SF IR ,7.60,J. Conner RB - PIT ,16.20,W. Fuller WR - HOU ,18.30,C. Godwin WR - TB ,4.80,J. Graham TE - CHI ,3.40,D. Montgomery RB - CHI ,9.70,R. Blankenship K - IND ,7.00,Dolphins DEF ,15.00,M. Ryan QB - ATL ,31.64,D. Jackson WR - PHI Q ,0.00,M. Gaskin RB - MIA ,12.60,M. Hardman WR - KC ,0.00,D. Metcalf WR - SEA ,0.00,Seahawks DEF ,0.00,C. McCaffrey RB - CAR Q ,0.00,D. Goedert TE - PHI Q ,0.00,99.12,Alessandro,95.64
Jeremy,8,R. Tannehill QB - TEN ,28.64,K. Hunt RB - CLE ,5.70,A. Gibson RB - WAS ,5.50,C. Kupp WR - LA Q ,1.10,T. McLaurin WR - WAS ,7.40,G. Kittle TE - SF ,16.90,T. Higgins WR - CIN Q ,12.70,R. Bullock K - CIN ,11.00,Titans DEF ,-2.00,D. Brees QB - NO ,0.00,L. Murray RB - NO Q ,0.00,C. Carson RB - SEA ,0.00,N. Fant TE - DEN ,0.00,D. Johnson WR - PIT ,0.00,T. Pollard RB - DAL ,4.00,-,-,-,-,86.94,alex,60.50
