Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,R/W/T,Points,K,Points,DEF,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,BN,Points,RES,Points,RES,Points,Total,Opponent,Opponent Total
Peter,1,K. Murray QB - ARI Q ,26.30,J. Mixon RB - CIN IR ,9.40,D. Johnson RB - CLE ,3.60,D. Parker WR - MIA ,11.00,C. Ridley WR - ATL ,13.60,J. Smith TE - TEN ,16.00,A. Thielen WR - MIN ,20.30,J. Sanders K - MIA ,21.00,Colts DEF ,11.00,C. Beasley WR - BUF Q ,5.30,G. Bernard RB - CIN ,0.40,G. Ward WR - PHI ,8.60,J. Jackson RB - LAC ,9.40,M. Gesicki TE - MIA ,9.10,J. Jeudy WR - DEN ,0.00,N. Chubb RB - CLE ,0.00,P. Campbell WR - IND IR ,0.00,132.20,Daniel,83.86
david,10,L. Jackson QB - BAL Q ,13.50,M. Davis RB - CAR Q ,20.90,D. Singletary RB - BUF ,3.30,E. Sanders WR - NO ,12.20,O. Beckham WR - CLE IR ,6.42,Z. Ertz TE - PHI ,0.60,J. Crowder WR - NYJ ,17.60,J. Tucker K - BAL ,9.00,Bills DEF ,-4.00,A. Jeffery WR - PHI ,0.00,J. Landry WR - CLE ,8.80,M. Brown RB - LA ,2.40,C. Wentz QB - PHI ,17.42,M. Thomas WR - NO Q ,0.00,B. Hill RB - ATL ,5.40,-,-,-,-,79.52,Jeremy,72.20
Ryan,3,K. Cousins QB - MIN ,14.16,D. Johnson RB - HOU ,10.30,A. Kamara RB - NO ,11.90,D. Samuel WR - SF Q ,2.20,L. Shenault WR - JAX ,7.90,T. Kelce TE - KC ,16.80,J. Jefferson WR - MIN ,2.30,Y. Koo K - ATL ,12.00,Buccaneers DEF ,6.00,K. Golladay WR - DET Q ,0.00,C. Edmonds RB - ARI ,15.20,M. Gallup WR - DAL ,7.30,J. Allen QB - BUF ,16.32,D. Harris RB - NE IR ,0.00,D. Swift RB - DET ,0.00,R. Penny RB - SEA Q ,0.00,J. Reagor WR - PHI Q ,0.00,83.56,Kevin,99.44
alex,4,P. Mahomes QB - KC Q ,29.70,M. Ingram RB - BAL ,5.70,E. Elliott RB - DAL ,22.50,M. Evans WR - TB ,10.10,S. Diggs WR - BUF ,10.60,T. Higbee TE - LA ,1.20,D. Freeman RB ,14.70,S. Gostkowski K - TEN ,6.00,Ravens DEF ,26.00,J. Cook TE - NO ,11.20,R. Fitzpatrick QB - MIA ,27.60,T. Hilton WR - IND ,6.90,C. Hyde RB - SEA ,0.00,T. Patrick WR - DEN Q ,0.00,Chiefs DEF ,-1.00,S. Michel RB - NE ,0.00,-,-,126.50,michael,81.32
Alessandro,5,R. Wilson QB - SEA ,24.48,K. Drake RB - ARI ,12.20,D. Cook RB - MIN ,14.90,D. Chark WR - JAX Q ,1.60,C. Lamb WR - DAL ,12.40,H. Henry TE - LAC ,8.30,A. Brown WR - TEN Q ,14.20,H. Butker K - KC ,6.00,49ers DEF ,-2.00,A. Peterson RB - DET ,0.00,K. Raymond WR - TEN ,2.60,M. Alie-Cox TE - IND ,0.00,K. Cole WR - JAX ,8.70,T. Smith WR - NO ,0.80,A. Mattison RB - MIN ,13.60,C. Davis WR - TEN ,0.00,-,-,92.08,Neil,74.44
Daniel,12,D. Watson QB - HOU ,24.86,T. Gurley RB - ATL ,21.00,J. Kelley RB - LAC ,3.80,A. Cooper WR - DAL Q ,2.10,R. Gage WR - ATL ,1.60,E. Engram TE - NYG ,8.50,J. Brown WR - BUF ,0.00,W. Lutz K - NO ,14.00,Steelers DEF ,8.00,M. Stafford QB - DET ,0.00,J. Jones WR - ATL Q ,0.00,L. Fournette RB - TB ,0.00,H. Renfrow WR - LV ,4.20,D. Slayton WR - NYG ,12.90,Seahawks DEF ,7.00,A. Ekeler RB - LAC Q ,0.00,-,-,83.86,Peter,132.20
Neil,7,D. Prescott QB - DAL IR ,12.44,D. Henry RB - TEN ,18.30,J. Dobbins RB - BAL ,5.50,A. Robinson WR - CHI ,9.00,J. Smith-Schuster WR - PIT ,2.80,H. Hurst TE - ATL ,0.80,P. Williams WR - MIA IR ,16.60,J. Myers K - SEA ,3.00,Bears DEF ,6.00,A. Jones RB - GB Q ,0.00,M. Williams WR - LAC ,22.90,P. Lindsay RB - DEN IR ,0.00,N. Hines RB - IND ,3.00,C. Kirk WR - ARI ,7.80,C. Akers RB - LA ,6.10,-,-,-,-,74.44,Alessandro,92.08
michael,11,T. Brady QB - TB ,14.12,L. Bell RB - KC ,6.70,J. Wilkins RB - IND ,0.10,S. Watkins WR - KC ,8.40,T. Hill WR - KC ,15.30,D. Waller TE - LV ,10.80,K. Allen WR - LAC ,8.90,C. Boswell K - PIT ,8.00,Cowboys DEF ,9.00,D. Adams WR - GB ,0.00,M. Gordon RB - DEN ,0.00,J. Goff QB - LA ,24.36,J. Williams RB - GB ,0.00,M. Prater K - DET ,0.00,Patriots DEF ,0.00,T. Cohen RB - CHI IR ,0.00,-,-,81.32,alex,126.50
Kevin,2,M. Ryan QB - ATL ,6.94,J. Conner RB - PIT ,12.30,D. Montgomery RB - CHI ,11.90,W. Fuller WR - HOU ,11.80,D. Metcalf WR - SEA ,21.30,J. Graham TE - CHI ,9.30,R. Mostert RB - SF IR ,11.90,R. Blankenship K - IND ,11.00,Saints DEF ,3.00,D. Jackson WR - PHI Q ,0.00,J. McKinnon RB - SF ,0.50,C. Godwin WR - TB ,0.00,M. Gaskin RB - MIA ,15.10,M. Hardman WR - KC ,5.00,G. Minshew QB - JAX ,19.84,C. McCaffrey RB - CAR Q ,0.00,D. Goedert TE - PHI Q ,0.00,99.44,Ryan,83.56
Jeremy,9,D. Brees QB - NO ,21.10,K. Hunt RB - CLE ,15.30,C. Carson RB - SEA ,13.90,T. McLaurin WR - WAS ,2.60,D. Johnson WR - PIT ,-0.20,G. Kittle TE - SF ,4.40,A. Gibson RB - WAS ,5.10,R. Bullock K - CIN ,3.00,Cardinals DEF ,7.00,A. Green WR - CIN ,0.00,L. Murray RB - NO Q ,5.70,C. Kupp WR - LA Q ,6.60,N. Fant TE - DEN ,0.00,T. Pollard RB - DAL ,3.20,T. Higgins WR - CIN Q ,6.20,-,-,-,-,72.20,david,79.52
